degree,specialization,skills,certifications,cgpa,graduation_year,internship_experience,job_role
MCA,Computer Applications,"WordPress, HTML, CSS",None,8.1,2023,1,Web Developer
B.Tech,Computer Science,"C++, Java, SQL, Data Structures, Algorithms",AWS Certified,7.33,2026,1,Software Engineer
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures",None,8.28,2025,1,Criminal Lawyer
M.Tech,Mechanical Engineering,"Ansys, SolidWorks, AutoCAD, Thermodynamics",None,9.33,2023,1,Mechanical Engineer
B.Com,Accounting,"Problem Solving, Communication",None,7.22,2024,1,Auditor
MBA,Finance,"Financial Analysis, Portfolio Management, Equity Research",None,7.22,2026,0,Investment Analyst
M.Com,Finance,"Communication, Valuation, Accounting, Excel",None,9.4,2025,1,Financial Analyst
PhD,Biotechnology,"Problem Solving, Communication",None,8.42,2025,1,Research Associate
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.94,2025,0,Quality Control Manager
MCA,Computer Applications,"React, CSS, JavaScript, HTML, PHP",None,8.15,2024,1,Web Developer
B.Tech,Civil Engineering,"Problem Solving, Communication",PMP,6.94,2023,0,Structural Engineer
MBA,Business Analytics,"Excel, Tableau, Python, SQL, Power BI",CBAP,6.94,2027,0,Data Analyst
B.Arch,Architecture,"Building Codes, Revit, AutoCAD, 3D Modeling",None,7.79,2023,1,Architect
BCA,Computer Applications,"SQL, Java, .NET, Object Oriented Programming",None,5.2,2026,0,Software Developer
B.Com,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",CFA,5.43,2025,1,Accountant
BBA,Business Analytics,"Excel, Business Intelligence, Tableau, Visio, SQL, Communication",CBAP,6.83,2025,0,Business Analyst
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.28,2025,1,Pharmaceutical Chemist
M.Tech,AI,"Neural Networks, Deep Learning, Python, TensorFlow, PyTorch",TensorFlow Developer,7.88,2024,1,AI Engineer
BCA,Computer Applications,"React, Communication, JavaScript, WordPress, HTML, PHP",None,6.41,2024,1,Web Developer
M.Tech,Data Science,"Pandas, Machine Learning, R, Big Data",None,5.81,2026,0,Data Scientist
B.Arch,Architecture,"3D Modeling, AutoCAD, Building Codes",None,9.26,2025,0,Architect
